doc_id,text_id,meeting_num,text
Economics-1888-0,Economics-1888-0-para0,2.0,"The intensity which the great debate regarding the so-called ""relations of labor and capital"" has acquired during the past year, seems to me almost to demand that at this, the first general meeting of the American Economic Association held since its organization in 1885, a subject of such great and pressing importance should receive more consideration than has been assigned it in the programme of papers to be read during our session; and I have, therefore, decided to take for my theme ""Efforts of the Manual Laboring Class to Better their Condition. """
Economics-1888-0,Economics-1888-0-para1,2.0,"From no other point could we obtain an. equally impressive view of the progress which has been made in economic thought during the past twenty five years. At the beginning of that period, the accepted philosophy of the subject, both in England and America, declared that the manual laboring class were not called upon to make any efforts for themselves in order to secure their just distributive share of the product of industry. It was then held by all economists of reputation in either country, that the compet-ition of employers among themselves for the pro-fits of employment amply sufficed to fix. the rate of wages as high as it could be maintained without an injurious reaction. The laborer was not called upon to seek his interest ; his interest would seek him and would find him. Even unfair methods and a grasping spirit on the part of employers could not, in the long result, impair the remuneration of labor."
Economics-1888-0,Economics-1888-0-para10,2.0,"This change in economic opinion did not come all at once. Its first manifestation was perhaps in 1864, when Prof. Fawcett, regarding \-whom a distinguished English economist wrote me, at the time of his lamented death, that one-half of his actual intimidate daily companions were laboring men, announced at Cambridge his conviction that, while the rate of wages was, in ordinary times, determined altogether irrespective of the efforts of the working classes to secure their own interests, yet, in transitional periods, when rapid alterations of industrial conditions were taking place, combinations of laborers might be effectual to win some portion of what would otherwise go in enhanced and excessive profits. That change of opinion has proceeded to the present time when, as previously stated, it is fully recognized that the self-assertion of the laboring class importantly contributes to the equitable and beneficial distribution of wealth; and that such self-assertion, within proper limits and by proper agencies, is not more for the interest of the laboring class than of the employing class, or of the community as a whole."
Economics-1888-0,Economics-1888-0-para11,2.0,"Inasmuch as so short a period has elapsed since there was a general consent of economic opinion that all distinct efforts of the laboring class, directed to the advancement of their own interests, must at the best be useless, and might and probably would become mischievous, it is not at all surprising that wide differences in belief should still exist as to the limits within which such efforts should be confined and as to the agencies by which they should be conducted. Even were scholars only concerned, it would necessarily take much time to educe the full philosophy of such a subject; to give to powerful agencies, so  
recently for the first time recognized, their due place and mode of working, that they should do only good and not also harm, or even that they should, in the immediate instance, do more good than harm. When the problem is, not to secure agreement among a body of scholars as to the limits within which such agencies may safely and advantageously operate, but to instruct and educate the whole mass of the laboring population so that they shall use formidable powers, of which they have so lately become fully conscious, without feeling prompted to abuse them, even under the stress of seeming interest, even under the excitements of passion, even under the seductions of demagogues and professional agitators, it would be altogether marvelous if so short a period should have sufficed for so great a work."
Economics-1888-0,Economics-1888-0-para12,2.0,"In addition to the grave inherent difficulties attendant on the use of the now well-recognized agencies of the trade-union and the strike, the industrial situation has been greatly complicated during the past two or three years by the sudden introduction into the field of controversy of two most formidable agencies, the Boycott and the general confederation of trade-unions under the title Knights of Labor. This it, immediately, is that has created that tremendous turmoil, which to many seems to presage universal industrial anarchy. The arming of the laboring class with these weapons has at the same time increased their power of doing mischief and excited a spirit of restiveness, and even of aggressiveness, never before known. That much evil will. not in the first instance be done by the reckless, irresponsible and even wanton use of these new powers, it would be puerile to expect. Those who doubt that the laboring class will, later or sooner, after more or less injury to themselves and to the commercial and industrial system, either discard these formidable weapons, or learn to handle them without suffering or doing mischief, have less faith in popular intelligence and public virtue than bents the citizens of a free government."
Economics-1888-0,Economics-1888-0-para13,2.0,"I have said that the immediate cause of the unprecedented labor troubles during the past two or three years has been the invention of certain new and formidable weapons of industrial warfare. The primary cause, however, is to be found, as I am disposed to believe, in the great advances \-which of late have been made in the condition of the laboring class. It is, of course, the way of the labor orators and the labor press to speak of the recent strikes as the revolt of down-trodden and suffering masses; as due to hCardships and indignities which manhood could no longer bear. As a matter of indisputable fact these strikes have not proceeded from the least, but from the most fortunate portion of the working population. It has not been common, but skilled labor that has been concerned. It has not been hopeless misery, but growing ambition. which has prompted nearly all the demands which it has been sought to enforce by the last resort. Not the bare necessaries or decencies of life, but comfort and enjoyment and opportunities for social improvement have been involved. The strikers of the past two years have, as a rule, been those who were already receiving wages far above the average of the population."
Economics-1888-0,Economics-1888-0-para14,2.0,"And it has largely been for this reason, viz.: because of their comparative prosperity, that they have become so confident of their ability to wrest a still  
larger share of the product of industry. The gain they have already realized has in part been due to more favorable material conditions of existence, to the discovery of new resources and powers in nature, and to advances in the arts of production and tranisportation; in part;, also, to the social movement of the age, in which all classes have in a greater or less degree shared; in part it may have been obtained at the expense of unorganized labor and of the agricultural population; much, also, unquestionably has been the result of the more active and aggressive pursuit of their interests by the organized working class."
Economics-1888-0,Economics-1888-0-para15,2.0,"That this last part of the total effect should be exaggerated, and that laborers should attribute all, or nearly all, of what they have gained to their own efforts is not unnatural, nor is it strange that they look to the same course for further good to themselves."
Economics-1888-0,Economics-1888-0-para16,2.0,"It is idle for any ole to say that the working classes have, indeed, accomplished much for themselves by their combined efforts in the past, but that we have now reached the industrial stage when nothing more is to be expected from this source, and laborers should, therefore, rest content with what they have already won. No living man knows enough of the conditions of industry to justify him in asserting anything like this; but it seems to me that the expectations of the body of laborers, at least if we can trust to the expressions of their organs and orators, have becom-ie so exaggerated, and the interpretation which they place upon the success attained in the past is so far strained or false, as to make it probable that large bodies of working men in different parts of our country will   
have to sustain some very severe and distressing rebuffs, defeats, and losses, in conflicts with the employing class, before they will learn the proper limits within which they may seek to enforce further demands for diminished time and enhanced wages; before they will come to appreciate the very close and stringent restrictions which nature has placed upon the remuneration of human labor. Many of those who profess to speak for the working classes, and in turn to instruct them as to their rights and interests, are now talking as if the sole reason why the body of laborers have made advances in the past has been because they have enforced demands by united action, and as if the only requisite for the concession of any claim they may be disposed to make in the future, will be unfaltering persistence. Ideas like these will be found as pernicious as they are false; and if the very large amount of talk of this sort now indulged in by the labor press and labor agitators means that those who control the course of labor organizations really entertain such wild notions, there is a great deal of misery in store for the masses whom they are thus misleading."
Economics-1888-0,Economics-1888-0-para17,2.0,"There never has been an advance of wages or an improvement in the conditions of labor for which a sound and sufficient reason of a purely economic character did not at the time and in the place exist. If on any occasion laborers have received more wages for the same work, or the same wages for a shorter day, and have enjoyed this gain without a subsequent reaction to their more than proportional loss and injury, it has been, not because the workmen themselves desired this; not even because they needed it most painfully and pitifully; not because sentimentalists and philanthropists yearned for it on their account; not because the demand was enforced by united action, carried to a point which threatened the employers with loss or, perhaps, ruin; but it has been for the reason that the conditions of production and trade allowed such concessions to be made without impairing the disposition to accumulate capital for industrial uses, and without cutting to the quick into the profits of business, which, under the existing organization of industry, constitute the sole motive to the production of wealth. Where these conditions are met the urgent, persistent demands of the laboring class, as well as the active sympathy of the general community, will undoubtedly help to secure, if, indeed, they are not essential to securing advantages which might otherwise be withheld. Where these conditions are not met, demands for increasing wages or shortening the term of labor will either be refused by the employing class, or if enforced by united action under circumstances which compel an immediate compliance, they will be granted, in the given time and place, only at the cost of the general community, and in especial of the laboring class, first of all, last of all, and most of all."
Economics-1888-0,Economics-1888-0-para18,2.0,"The part which laborers are, under modern conditions, called to perform in influencing the distribution of the product of industry, is not a part in which they are to do whatever is agreeable to themselves, without careful consideration of the rights and interests of others, and without direct responsibility for the effects of wrongful and injudicious action. It is just as fully true that there are no industrial rights without corresponding duties as it is that there are no political rights without corresponding duties."
Economics-1888-0,Economics-1888-0-para19,2.0,"In the. industrial republic, as in the political republic, power com-es to the masses accompanied by the gravest responsibilities, and in one as in the other the abuse or the wanton exercise of power will inflict its worst injuries upon the humblest members of the community. In either republic instruction as to the duties and responsibilities of citizenship is more needed than instruction as to the right and powers of citizenship. Certainly during the past few years there has been much ignore thought of the latter than of the former among, those who assume to prom-note the interests of the laboring class; yet nothing could be more prejudicial to those interests, when rightly viewed, than that the impression should be created among the body of working men that there is anything they can take without giving its fair and full equivalent; that they can use the immense force which resides in co neerted action without direct and immediate accountability for every injury which may be inflicted thereby upon production and trade; that they can harass employers by incessant demands, extort undue concessions, and render it unsafe to undertake contracts, involving large expenditures extending over considerable periods of time, without in the result suffering far m-ore evil than they can possibly inflict upon the employing or the capitalist class. Emphatically it is true in industrial warfare, that they who take the sword shall perish by the sword, and those are only enemies of the working classes who incite them to take up arms in a light quarrel, or, in any cause, without counting well and carefully the cost."
Economics-1888-0,Economics-1888-0-para2,2.0,""" Unless."" said Prof. John E. Cairnes, having in view- the forcing do-w-n of wages by a combination of employers, ""' unless we are to suppose the character of a large section of a community to be suddenly changed in a leading attribute, the wealth so withdrawn from wages would, in the end and before long, be restored to wages. The same motives which led to its investment would lead to its reinvestment; and, once reinvested, the interests of those concerned would cause it to be distributed amongst the several elements of capital in the same proportions as before. In this way covetousness is held in check by covetousness, and the desire for aggrandizement sets limits to its own gratification."""
